repoOwner,repoName,builtByGovernment,updatedAt,createdAt,directDependencies,isPrototype,isIndirect
alphagov,whitehall,true,2025-01-14T17:40:56Z,2011-09-19T15:10:49Z,[],false,true
timpaul,form-extractor-prototype,false,2024-12-31T02:03:08Z,2024-04-11T18:29:05Z,"[{""frontendVersion"":""5.3.1"",""packagePath"":""package.json""}]",false,false
alphagov,govuk-prototype-kit,true,2024-12-17T12:35:59Z,2014-06-26T13:54:09Z,"[{""packagePath"":""package.json"",""frontendVersion"":""5.2.0""}]",true,false
uktrade,stream-unzip,true,2025-01-07T11:47:32Z,2021-05-16T14:21:59Z,[],false,true
UKHSA-Internal,coronavirus-dashboard,true,2024-12-05T12:21:41Z,2020-03-19T11:48:24Z,"[{""frontendVersion"":""3.14.0"",""packagePath"":""package.json""}]",false,false
govuk-vue,govuk-vue,false,2024-11-28T12:16:30Z,2023-03-11T14:42:38Z,"[{""frontendVersion"":""5.7.0"",""packagePath"":""package.json""}]",false,false
x-govuk,govuk-components,true,2025-01-12T17:44:18Z,2020-05-05T14:15:18Z,"[{""packagePath"":""guide/package.json"",""frontendVersion"":""5.8.0""},{""packagePath"":""spec/dummy/package.json"",""frontendVersion"":""5.0.0-beta.1""}]",false,false
co-cddo,api-catalogue,true,2025-01-09T16:03:40Z,2019-09-05T11:03:45Z,"[{""packagePath"":""package.json"",""frontendVersion"":""4.7.0""}]",false,false
uktrade,stream-zip,true,2025-01-07T08:17:56Z,2021-12-29T07:31:26Z,[],false,true
i-dot-ai,redbox,true,2025-01-14T04:14:47Z,2024-01-18T16:51:54Z,[],false,true
alphagov,paas-cf,true,2025-01-10T16:41:28Z,2015-11-23T11:36:57Z,"[{""frontendVersion"":""3.9.0"",""packagePath"":""tools/error_page/package.json""}]",false,false
x-govuk,govuk-form-builder,true,2025-01-12T17:32:43Z,2019-05-27T10:31:14Z,"[{""packagePath"":""guide/package.json"",""frontendVersion"":""5.8.0""}]",false,false
UKHomeOffice,design-system,true,2025-01-14T11:47:28Z,2016-11-21T15:57:34Z,"[{""packagePath"":""components/page/package.json"",""frontendVersion"":""5.7.1""},{""packagePath"":""components/status-message/package.json"",""frontendVersion"":""5.7.1""}]",false,false
alphagov,govuk_publishing_components,true,2025-01-14T15:55:59Z,2017-07-12T14:59:27Z,"[{""packagePath"":""package.json"",""frontendVersion"":""5.7.1""}]",false,false
XGovFormBuilder,digital-form-builder,false,2024-11-01T10:53:27Z,2020-06-11T11:15:12Z,"[{""frontendVersion"":""4.9.0"",""packagePath"":""package.json""}]",false,false
UKHSA-Internal,coronavirus-dashboard-summary,true,2024-11-04T23:39:12Z,2021-10-25T14:31:28Z,"[{""frontendVersion"":""3.13.0"",""packagePath"":""coronavirus_dashboard_summary/WebRoot/package.json""}]",false,false
x-govuk,govuk-eleventy-plugin,true,2025-01-02T16:03:04Z,2019-08-01T23:06:50Z,"[{""frontendVersion"":""5.7.1"",""packagePath"":""package.json""}]",false,false
paulrobertlloyd,classnames,false,2024-10-27T19:26:56Z,2023-09-28T00:35:34Z,[],false,true
